problem_name,algo_name,Noise_type,Noise_intensity,Max_fitness,Min_fitness,Final_fitness
OneMax_100item,UMDA,post,0,100.0,67.0,100.0
OneMax_100item,UMDA,post,0,100.0,64.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,54.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,54.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,56.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,40.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,54.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,58.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,53.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,56.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,52.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,41.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,39.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,42.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,47.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,42.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,62.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,52.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,47.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,43.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,42.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,53.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,54.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,61.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,37.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,63.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,56.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,36.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,42.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,52.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,53.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,46.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,62.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,48.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,40.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,45.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,52.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,58.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,52.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,51.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,47.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,50.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,55.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,45.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,42.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,49.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,47.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,47.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,37.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,54.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,44.0,100.0
OneMax_100item,OnePlusOneEA,post,0,100.0,43.0,100.0
OneMax_100item,EA,post,0,88.0,54.0,80.0
OneMax_100item,EA,post,0,88.0,55.0,77.0
OneMax_100item,EA,post,0,87.0,55.0,82.0
OneMax_100item,EA,post,0,88.0,54.0,83.0
OneMax_100item,EA,post,0,89.0,59.0,73.0
OneMax_100item,EA,post,0,89.0,54.0,79.0
OneMax_100item,EA,post,0,87.0,49.0,74.0
OneMax_100item,EA,post,0,89.0,51.0,84.0
OneMax_100item,EA,post,0,87.0,48.0,77.0
OneMax_100item,EA,post,0,89.0,59.0,81.0
OneMax_100item,EA,post,0,90.0,51.0,80.0
OneMax_100item,EA,post,0,90.0,56.0,79.0
OneMax_100item,EA,post,0,87.0,51.0,81.0
OneMax_100item,EA,post,0,89.0,58.0,80.0
OneMax_100item,EA,post,0,88.0,60.0,77.0
OneMax_100item,EA,post,0,88.0,50.0,76.0
OneMax_100item,EA,post,0,90.0,54.0,82.0
OneMax_100item,EA,post,0,88.0,54.0,75.0
OneMax_100item,EA,post,0,88.0,56.0,76.0
OneMax_100item,EA,post,0,89.0,48.0,74.0
OneMax_100item,EA,post,0,88.0,54.0,80.0
OneMax_100item,EA,post,0,88.0,49.0,82.0
OneMax_100item,EA,post,0,89.0,55.0,80.0
OneMax_100item,EA,post,0,87.0,54.0,79.0
OneMax_100item,EA,post,0,89.0,51.0,82.0
OneMax_100item,EA,post,0,89.0,51.0,81.0
OneMax_100item,EA,post,0,90.0,56.0,79.0
